,fullname,orderid,shipcountry,companyname,companyname,unitprice,quantity,orderdate,shippeddate,requireddate
25,Janet Leverling,10256,Brazil,United Package,Wellington Importadora,10.4000,12,1996-07-15,1996-07-17,1996-08-12
26,Margaret Peacock,10257,Venezuela,Federal Shipping,HILARION-Abastos,35.1000,25,1996-07-16,1996-07-22,1996-08-13
27,Margaret Peacock,10257,Venezuela,Federal Shipping,HILARION-Abastos,14.4000,6,1996-07-16,1996-07-22,1996-08-13
28,Margaret Peacock,10257,Venezuela,Federal Shipping,HILARION-Abastos,10.4000,15,1996-07-16,1996-07-22,1996-08-13
29,Nancy Davolio,10258,Austria,Speedy Express,Ernst Handel,15.2000,50,1996-07-17,1996-07-23,1996-08-14
30,Nancy Davolio,10258,Austria,Speedy Express,Ernst Handel,17.0000,65,1996-07-17,1996-07-23,1996-08-14
31,Nancy Davolio,10258,Austria,Speedy Express,Ernst Handel,25.6000,6,1996-07-17,1996-07-23,1996-08-14
32,Margaret Peacock,10259,Mexico,Federal Shipping,Centro comercial Moctezuma,8.0000,10,1996-07-18,1996-07-25,1996-08-15
33,Margaret Peacock,10259,Mexico,Federal Shipping,Centro comercial Moctezuma,20.8000,1,1996-07-18,1996-07-25,1996-08-15
34,Margaret Peacock,10261,Brazil,United Package,Que Delcia,8.0000,20,1996-07-19,1996-07-30,1996-08-16
35,Margaret Peacock,10261,Brazil,United Package,Que Delcia,14.4000,20,1996-07-19,1996-07-30,1996-08-16
36,Margaret Peacock,10260,Germany,Speedy Express,Ottilies Kseladen,7.7000,16,1996-07-19,1996-07-29,1996-08-16
37,Margaret Peacock,10260,Germany,Speedy Express,Ottilies Kseladen,15.6000,50,1996-07-19,1996-07-29,1996-08-16
38,Margaret Peacock,10260,Germany,Speedy Express,Ottilies Kseladen,39.4000,15,1996-07-19,1996-07-29,1996-08-16
39,Margaret Peacock,10260,Germany,Speedy Express,Ottilies Kseladen,12.0000,21,1996-07-19,1996-07-29,1996-08-16
40,Laura Callahan,10262,USA,Federal Shipping,Rattlesnake Canyon Grocery,17.0000,12,1996-07-22,1996-07-25,1996-08-19
41,Laura Callahan,10262,USA,Federal Shipping,Rattlesnake Canyon Grocery,24.0000,15,1996-07-22,1996-07-25,1996-08-19
42,Laura Callahan,10262,USA,Federal Shipping,Rattlesnake Canyon Grocery,30.4000,2,1996-07-22,1996-07-25,1996-08-19
43,Anne Dodsworth,10263,Austria,Federal Shipping,Ernst Handel,13.9000,60,1996-07-23,1996-07-31,1996-08-20
44,Anne Dodsworth,10263,Austria,Federal Shipping,Ernst Handel,3.6000,28,1996-07-23,1996-07-31,1996-08-20
45,Anne Dodsworth,10263,Austria,Federal Shipping,Ernst Handel,20.7000,60,1996-07-23,1996-07-31,1996-08-20
46,Anne Dodsworth,10263,Austria,Federal Shipping,Ernst Handel,8.0000,36,1996-07-23,1996-07-31,1996-08-20
47,Michael Suyama,10264,Sweden,Federal Shipping,Folk och f HB,15.2000,35,1996-07-24,1996-08-23,1996-08-21
48,Michael Suyama,10264,Sweden,Federal Shipping,Folk och f HB,7.7000,25,1996-07-24,1996-08-23,1996-08-21
49,Andrew Fuller,10265,France,Speedy Express,Blondesddsl pre et fils,31.2000,30,1996-07-25,1996-08-12,1996-08-22
50,Andrew Fuller,10265,France,Speedy Express,Blondesddsl pre et fils,12.0000,20,1996-07-25,1996-08-12,1996-08-22
51,Janet Leverling,10266,Finland,Federal Shipping,Wartian Herkku,30.4000,12,1996-07-26,1996-07-31,1996-09-06
52,Margaret Peacock,10267,Germany,Speedy Express,Frankenversand,14.7000,50,1996-07-29,1996-08-06,1996-08-26
53,Margaret Peacock,10267,Germany,Speedy Express,Frankenversand,44.0000,70,1996-07-29,1996-08-06,1996-08-26
54,Margaret Peacock,10267,Germany,Speedy Express,Frankenversand,14.4000,15,1996-07-29,1996-08-06,1996-08-26
55,Laura Callahan,10268,Venezuela,Federal Shipping,GROSELLA-Restaurante,99.0000,10,1996-07-30,1996-08-02,1996-08-27
56,Laura Callahan,10268,Venezuela,Federal Shipping,GROSELLA-Restaurante,27.8000,4,1996-07-30,1996-08-02,1996-08-27
57,Steven Buchanan,10269,USA,Speedy Express,White Clover Markets,2.0000,60,1996-07-31,1996-08-09,1996-08-14
58,Steven Buchanan,10269,USA,Speedy Express,White Clover Markets,27.8000,20,1996-07-31,1996-08-09,1996-08-14
59,Nancy Davolio,10270,Finland,Speedy Express,Wartian Herkku,15.2000,30,1996-08-01,1996-08-02,1996-08-29
60,Nancy Davolio,10270,Finland,Speedy Express,Wartian Herkku,36.8000,25,1996-08-01,1996-08-02,1996-08-29
61,Michael Suyama,10271,USA,United Package,Split Rail Beer & Ale,2.0000,24,1996-08-01,1996-08-30,1996-08-29
62,Michael Suyama,10272,USA,United Package,Rattlesnake Canyon Grocery,64.8000,6,1996-08-02,1996-08-06,1996-08-30
63,Michael Suyama,10272,USA,United Package,Rattlesnake Canyon Grocery,10.0000,40,1996-08-02,1996-08-06,1996-08-30
64,Michael Suyama,10272,USA,United Package,Rattlesnake Canyon Grocery,27.8000,24,1996-08-02,1996-08-06,1996-08-30
65,Janet Leverling,10273,Germany,Federal Shipping,QUICK-Stop,24.8000,24,1996-08-05,1996-08-12,1996-09-02
66,Janet Leverling,10273,Germany,Federal Shipping,QUICK-Stop,10.0000,15,1996-08-05,1996-08-12,1996-09-02
67,Janet Leverling,10273,Germany,Federal Shipping,QUICK-Stop,2.0000,20,1996-08-05,1996-08-12,1996-09-02
68,Janet Leverling,10273,Germany,Federal Shipping,QUICK-Stop,14.7000,60,1996-08-05,1996-08-12,1996-09-02
69,Janet Leverling,10273,Germany,Federal Shipping,QUICK-Stop,14.4000,33,1996-08-05,1996-08-12,1996-09-02
70,Michael Suyama,10274,France,Speedy Express,Vins et alcools Chevalier,17.2000,20,1996-08-06,1996-08-16,1996-09-03
71,Michael Suyama,10274,France,Speedy Express,Vins et alcools Chevalier,27.8000,7,1996-08-06,1996-08-16,1996-09-03
72,Nancy Davolio,10275,Italy,Speedy Express,Magazzini Alimentari Riuniti,3.6000,12,1996-08-07,1996-08-09,1996-09-04
73,Nancy Davolio,10275,Italy,Speedy Express,Magazzini Alimentari Riuniti,44.0000,6,1996-08-07,1996-08-09,1996-09-04
74,Laura Callahan,10276,Mexico,Federal Shipping,Tortuga Restaurante,24.8000,15,1996-08-08,1996-08-14,1996-08-22
75,Laura Callahan,10276,Mexico,Federal Shipping,Tortuga Restaurante,4.8000,10,1996-08-08,1996-08-14,1996-08-22
76,Andrew Fuller,10277,Germany,Federal Shipping,Morgenstern Gesundkost,36.4000,20,1996-08-09,1996-08-13,1996-09-06
77,Andrew Fuller,10277,Germany,Federal Shipping,Morgenstern Gesundkost,39.4000,12,1996-08-09,1996-08-13,1996-09-06
78,Laura Callahan,10278,Sweden,United Package,Berglunds snabbkp,15.5000,16,1996-08-12,1996-08-16,1996-09-09
79,Laura Callahan,10278,Sweden,United Package,Berglunds snabbkp,44.0000,15,1996-08-12,1996-08-16,1996-09-09
80,Laura Callahan,10278,Sweden,United Package,Berglunds snabbkp,35.1000,8,1996-08-12,1996-08-16,1996-09-09
81,Laura Callahan,10278,Sweden,United Package,Berglunds snabbkp,12.0000,25,1996-08-12,1996-08-16,1996-09-09
82,Laura Callahan,10279,Germany,United Package,Lehmanns Marktstand,31.2000,15,1996-08-13,1996-08-16,1996-09-10
83,Andrew Fuller,10280,Sweden,Speedy Express,Berglunds snabbkp,3.6000,12,1996-08-14,1996-09-12,1996-09-11
84,Andrew Fuller,10280,Sweden,Speedy Express,Berglunds snabbkp,19.2000,20,1996-08-14,1996-09-12,1996-09-11
85,Andrew Fuller,10280,Sweden,Speedy Express,Berglunds snabbkp,6.2000,30,1996-08-14,1996-09-12,1996-09-11
86,Margaret Peacock,10281,Spain,Speedy Express,Romero y tomillo,7.3000,1,1996-08-14,1996-08-21,1996-08-28
87,Margaret Peacock,10281,Spain,Speedy Express,Romero y tomillo,3.6000,6,1996-08-14,1996-08-21,1996-08-28
88,Margaret Peacock,10281,Spain,Speedy Express,Romero y tomillo,14.4000,4,1996-08-14,1996-08-21,1996-08-28
89,Margaret Peacock,10282,Spain,Speedy Express,Romero y tomillo,20.7000,6,1996-08-15,1996-08-21,1996-09-12
90,Margaret Peacock,10282,Spain,Speedy Express,Romero y tomillo,15.6000,2,1996-08-15,1996-08-21,1996-09-12
91,Janet Leverling,10283,Venezuela,Federal Shipping,LILA-Supermercado,12.4000,20,1996-08-16,1996-08-23,1996-09-13
92,Janet Leverling,10283,Venezuela,Federal Shipping,LILA-Supermercado,7.3000,18,1996-08-16,1996-08-23,1996-09-13
93,Janet Leverling,10283,Venezuela,Federal Shipping,LILA-Supermercado,27.2000,35,1996-08-16,1996-08-23,1996-09-13
94,Janet Leverling,10283,Venezuela,Federal Shipping,LILA-Supermercado,27.8000,3,1996-08-16,1996-08-23,1996-09-13
95,Margaret Peacock,10284,Germany,Speedy Express,Lehmanns Marktstand,35.1000,15,1996-08-19,1996-08-27,1996-09-16
96,Margaret Peacock,10284,Germany,Speedy Express,Lehmanns Marktstand,15.5000,21,1996-08-19,1996-08-27,1996-09-16
97,Margaret Peacock,10284,Germany,Speedy Express,Lehmanns Marktstand,27.2000,20,1996-08-19,1996-08-27,1996-09-16
98,Margaret Peacock,10284,Germany,Speedy Express,Lehmanns Marktstand,11.2000,5,1996-08-19,1996-08-27,1996-09-16
99,Nancy Davolio,10285,Germany,United Package,QUICK-Stop,14.4000,45,1996-08-20,1996-08-26,1996-09-17
100,Nancy Davolio,10285,Germany,United Package,QUICK-Stop,14.7000,40,1996-08-20,1996-08-26,1996-09-17
101,Nancy Davolio,10285,Germany,United Package,QUICK-Stop,26.2000,36,1996-08-20,1996-08-26,1996-09-17
102,Laura Callahan,10286,Germany,Federal Shipping,QUICK-Stop,14.4000,100,1996-08-21,1996-08-30,1996-09-18
103,Laura Callahan,10286,Germany,Federal Shipping,QUICK-Stop,39.4000,40,1996-08-21,1996-08-30,1996-09-18
104,Laura Callahan,10287,Brazil,Federal Shipping,Ricardo Adocicados,13.9000,40,1996-08-22,1996-08-28,1996-09-19
105,Laura Callahan,10287,Brazil,Federal Shipping,Ricardo Adocicados,11.2000,20,1996-08-22,1996-08-28,1996-09-19
106,Laura Callahan,10287,Brazil,Federal Shipping,Ricardo Adocicados,9.6000,15,1996-08-22,1996-08-28,1996-09-19
107,Margaret Peacock,10288,Italy,Speedy Express,Reggiani Caseifici,5.9000,10,1996-08-23,1996-09-03,1996-09-20
108,Margaret Peacock,10288,Italy,Speedy Express,Reggiani Caseifici,10.0000,3,1996-08-23,1996-09-03,1996-09-20
109,Robert King,10289,UK,Federal Shipping,B's Beverages,8.0000,30,1996-08-26,1996-08-28,1996-09-23
110,Robert King,10289,UK,Federal Shipping,B's Beverages,26.6000,9,1996-08-26,1996-08-28,1996-09-23
111,Michael Suyama,10291,Brazil,United Package,Que Delcia,4.8000,20,1996-08-27,1996-09-04,1996-09-24
112,Michael Suyama,10291,Brazil,United Package,Que Delcia,15.5000,24,1996-08-27,1996-09-04,1996-09-24
113,Michael Suyama,10291,Brazil,United Package,Que Delcia,42.4000,2,1996-08-27,1996-09-04,1996-09-24
114,Laura Callahan,10290,Brazil,Speedy Express,Comrcio Mineiro,17.0000,20,1996-08-27,1996-09-03,1996-09-24
115,Laura Callahan,10290,Brazil,Speedy Express,Comrcio Mineiro,99.0000,15,1996-08-27,1996-09-03,1996-09-24
116,Laura Callahan,10290,Brazil,Speedy Express,Comrcio Mineiro,16.0000,15,1996-08-27,1996-09-03,1996-09-24
117,Laura Callahan,10290,Brazil,Speedy Express,Comrcio Mineiro,10.4000,10,1996-08-27,1996-09-03,1996-09-24
118,Nancy Davolio,10292,Brazil,United Package,Tradio Hipermercados,64.8000,20,1996-08-28,1996-09-02,1996-09-25
119,Nancy Davolio,10293,Mexico,Federal Shipping,Tortuga Restaurante,50.0000,12,1996-08-29,1996-09-11,1996-09-26
120,Nancy Davolio,10293,Mexico,Federal Shipping,Tortuga Restaurante,3.6000,10,1996-08-29,1996-09-11,1996-09-26
121,Nancy Davolio,10293,Mexico,Federal Shipping,Tortuga Restaurante,35.1000,5,1996-08-29,1996-09-11,1996-09-26
122,Nancy Davolio,10293,Mexico,Federal Shipping,Tortuga Restaurante,6.2000,6,1996-08-29,1996-09-11,1996-09-26
123,Margaret Peacock,10294,USA,United Package,Rattlesnake Canyon Grocery,14.4000,18,1996-08-30,1996-09-05,1996-09-27
124,Margaret Peacock,10294,USA,United Package,Rattlesnake Canyon Grocery,31.2000,15,1996-08-30,1996-09-05,1996-09-27
125,Margaret Peacock,10294,USA,United Package,Rattlesnake Canyon Grocery,36.8000,15,1996-08-30,1996-09-05,1996-09-27
126,Margaret Peacock,10294,USA,United Package,Rattlesnake Canyon Grocery,27.2000,21,1996-08-30,1996-09-05,1996-09-27
127,Margaret Peacock,10294,USA,United Package,Rattlesnake Canyon Grocery,6.2000,6,1996-08-30,1996-09-05,1996-09-27
128,Andrew Fuller,10295,France,United Package,Vins et alcools Chevalier,30.4000,4,1996-09-02,1996-09-10,1996-09-30
129,Michael Suyama,10296,Venezuela,Speedy Express,LILA-Supermercado,16.8000,12,1996-09-03,1996-09-11,1996-10-01
130,Michael Suyama,10296,Venezuela,Speedy Express,LILA-Supermercado,13.9000,30,1996-09-03,1996-09-11,1996-10-01
131,Michael Suyama,10296,Venezuela,Speedy Express,LILA-Supermercado,28.8000,15,1996-09-03,1996-09-11,1996-10-01
132,Steven Buchanan,10297,France,United Package,Blondesddsl pre et fils,14.4000,60,1996-09-04,1996-09-10,1996-10-16
133,Steven Buchanan,10297,France,United Package,Blondesddsl pre et fils,27.8000,20,1996-09-04,1996-09-10,1996-10-16
134,Michael Suyama,10298,Ireland,United Package,Hungry Owl All-Night Grocers,15.2000,40,1996-09-05,1996-09-11,1996-10-03
135,Michael Suyama,10298,Ireland,United Package,Hungry Owl All-Night Grocers,15.2000,40,1996-09-05,1996-09-11,1996-10-03
136,Michael Suyama,10298,Ireland,United Package,Hungry Owl All-Night Grocers,44.0000,30,1996-09-05,1996-09-11,1996-10-03
137,Michael Suyama,10298,Ireland,United Package,Hungry Owl All-Night Grocers,39.4000,15,1996-09-05,1996-09-11,1996-10-03
138,Margaret Peacock,10299,Brazil,United Package,Ricardo Adocicados,7.3000,15,1996-09-06,1996-09-13,1996-10-04
139,Margaret Peacock,10299,Brazil,United Package,Ricardo Adocicados,12.0000,20,1996-09-06,1996-09-13,1996-10-04
140,Andrew Fuller,10300,Italy,United Package,Magazzini Alimentari Riuniti,13.6000,30,1996-09-09,1996-09-18,1996-10-07
141,Andrew Fuller,10300,Italy,United Package,Magazzini Alimentari Riuniti,10.0000,20,1996-09-09,1996-09-18,1996-10-07
142,Laura Callahan,10301,Germany,United Package,Die Wandernde Kuh,14.7000,10,1996-09-09,1996-09-17,1996-10-07
143,Laura Callahan,10301,Germany,United Package,Die Wandernde Kuh,30.4000,20,1996-09-09,1996-09-17,1996-10-07
144,Margaret Peacock,10302,Belgium,United Package,Suprmes dlices,31.2000,40,1996-09-10,1996-10-09,1996-10-08
145,Margaret Peacock,10302,Belgium,United Package,Suprmes dlices,36.4000,28,1996-09-10,1996-10-09,1996-10-08
146,Margaret Peacock,10302,Belgium,United Package,Suprmes dlices,36.8000,12,1996-09-10,1996-10-09,1996-10-08
147,Robert King,10303,Spain,United Package,Godos Cocina Tpica,14.7000,40,1996-09-11,1996-09-18,1996-10-09
148,Robert King,10303,Spain,United Package,Godos Cocina Tpica,16.8000,30,1996-09-11,1996-09-18,1996-10-09
149,Robert King,10303,Spain,United Package,Godos Cocina Tpica,10.0000,15,1996-09-11,1996-09-18,1996-10-09
150,Nancy Davolio,10304,Mexico,United Package,Tortuga Restaurante,16.0000,30,1996-09-12,1996-09-17,1996-10-10
151,Nancy Davolio,10304,Mexico,United Package,Tortuga Restaurante,44.0000,10,1996-09-12,1996-09-17,1996-10-10
152,Nancy Davolio,10304,Mexico,United Package,Tortuga Restaurante,17.2000,2,1996-09-12,1996-09-17,1996-10-10
153,Laura Callahan,10305,USA,Federal Shipping,Old World Delicatessen,50.0000,25,1996-09-13,1996-10-09,1996-10-11
154,Laura Callahan,10305,USA,Federal Shipping,Old World Delicatessen,99.0000,25,1996-09-13,1996-10-09,1996-10-11
155,Laura Callahan,10305,USA,Federal Shipping,Old World Delicatessen,14.4000,30,1996-09-13,1996-10-09,1996-10-11
156,Nancy Davolio,10306,Spain,Federal Shipping,Romero y tomillo,20.7000,10,1996-09-16,1996-09-23,1996-10-14
157,Nancy Davolio,10306,Spain,Federal Shipping,Romero y tomillo,26.2000,10,1996-09-16,1996-09-23,1996-10-14
158,Nancy Davolio,10306,Spain,Federal Shipping,Romero y tomillo,5.9000,5,1996-09-16,1996-09-23,1996-10-14
159,Andrew Fuller,10307,USA,United Package,Lonesome Pine Restaurant,39.4000,10,1996-09-17,1996-09-25,1996-10-15
160,Andrew Fuller,10307,USA,United Package,Lonesome Pine Restaurant,10.0000,3,1996-09-17,1996-09-25,1996-10-15
161,Robert King,10308,Mexico,Federal Shipping,Ana Trujillo Emparedados y helados,28.8000,1,1996-09-18,1996-09-24,1996-10-16
162,Robert King,10308,Mexico,Federal Shipping,Ana Trujillo Emparedados y helados,12.0000,5,1996-09-18,1996-09-24,1996-10-16
163,Janet Leverling,10309,Ireland,Speedy Express,Hungry Owl All-Night Grocers,17.6000,20,1996-09-19,1996-10-23,1996-10-17
164,Janet Leverling,10309,Ireland,Speedy Express,Hungry Owl All-Night Grocers,20.0000,30,1996-09-19,1996-10-23,1996-10-17
165,Janet Leverling,10309,Ireland,Speedy Express,Hungry Owl All-Night Grocers,11.2000,2,1996-09-19,1996-10-23,1996-10-17
166,Janet Leverling,10309,Ireland,Speedy Express,Hungry Owl All-Night Grocers,36.8000,20,1996-09-19,1996-10-23,1996-10-17
167,Janet Leverling,10309,Ireland,Speedy Express,Hungry Owl All-Night Grocers,17.2000,3,1996-09-19,1996-10-23,1996-10-17
168,Nancy Davolio,10311,France,Federal Shipping,Du monde entier,11.2000,6,1996-09-20,1996-09-26,1996-10-04
169,Nancy Davolio,10311,France,Federal Shipping,Du monde entier,28.8000,7,1996-09-20,1996-09-26,1996-10-04
170,Laura Callahan,10310,USA,United Package,The Big Cheese,13.9000,10,1996-09-20,1996-09-27,1996-10-18
171,Laura Callahan,10310,USA,United Package,The Big Cheese,39.4000,5,1996-09-20,1996-09-27,1996-10-18
172,Andrew Fuller,10312,Germany,United Package,Die Wandernde Kuh,36.4000,4,1996-09-23,1996-10-03,1996-10-21
173,Andrew Fuller,10312,Germany,United Package,Die Wandernde Kuh,36.8000,24,1996-09-23,1996-10-03,1996-10-21
174,Andrew Fuller,10312,Germany,United Package,Die Wandernde Kuh,26.2000,20,1996-09-23,1996-10-03,1996-10-21
175,Andrew Fuller,10312,Germany,United Package,Die Wandernde Kuh,6.2000,10,1996-09-23,1996-10-03,1996-10-21
176,Andrew Fuller,10313,Germany,United Package,QUICK-Stop,15.2000,12,1996-09-24,1996-10-04,1996-10-22
177,Nancy Davolio,10314,USA,United Package,Rattlesnake Canyon Grocery,25.6000,40,1996-09-25,1996-10-04,1996-10-23
178,Nancy Davolio,10314,USA,United Package,Rattlesnake Canyon Grocery,10.6000,30,1996-09-25,1996-10-04,1996-10-23
179,Nancy Davolio,10314,USA,United Package,Rattlesnake Canyon Grocery,39.4000,25,1996-09-25,1996-10-04,1996-10-23
180,Margaret Peacock,10315,UK,United Package,Island Trading,11.2000,14,1996-09-26,1996-10-03,1996-10-24
181,Margaret Peacock,10315,UK,United Package,Island Trading,12.0000,30,1996-09-26,1996-10-03,1996-10-24
182,Nancy Davolio,10316,USA,Federal Shipping,Rattlesnake Canyon Grocery,7.7000,10,1996-09-27,1996-10-08,1996-10-25
183,Nancy Davolio,10316,USA,Federal Shipping,Rattlesnake Canyon Grocery,39.4000,70,1996-09-27,1996-10-08,1996-10-25
184,Michael Suyama,10317,USA,Speedy Express,Lonesome Pine Restaurant,14.4000,20,1996-09-30,1996-10-10,1996-10-28
185,Laura Callahan,10318,UK,United Package,Island Trading,7.7000,20,1996-10-01,1996-10-04,1996-10-29
186,Laura Callahan,10318,UK,United Package,Island Trading,14.4000,6,1996-10-01,1996-10-04,1996-10-29
187,Robert King,10319,Mexico,Federal Shipping,Tortuga Restaurante,31.2000,8,1996-10-02,1996-10-11,1996-10-30
188,Robert King,10319,Mexico,Federal Shipping,Tortuga Restaurante,36.4000,14,1996-10-02,1996-10-11,1996-10-30
189,Robert King,10319,Mexico,Federal Shipping,Tortuga Restaurante,14.4000,30,1996-10-02,1996-10-11,1996-10-30
190,Janet Leverling,10321,UK,United Package,Island Trading,14.4000,10,1996-10-03,1996-10-11,1996-10-31
191,Steven Buchanan,10320,Finland,Federal Shipping,Wartian Herkku,17.2000,30,1996-10-03,1996-10-18,1996-10-17
192,Robert King,10322,Mexico,Federal Shipping,Pericles Comidas clsicas,5.6000,20,1996-10-04,1996-10-23,1996-11-01
193,Margaret Peacock,10323,Germany,Speedy Express,Kniglich Essen,12.4000,5,1996-10-07,1996-10-14,1996-11-04
194,Margaret Peacock,10323,Germany,Speedy Express,Kniglich Essen,11.2000,4,1996-10-07,1996-10-14,1996-11-04
195,Margaret Peacock,10323,Germany,Speedy Express,Kniglich Essen,14.4000,4,1996-10-07,1996-10-14,1996-11-04
196,Anne Dodsworth,10324,USA,Speedy Express,Save-a-lot Markets,13.9000,21,1996-10-08,1996-10-10,1996-11-05
197,Anne Dodsworth,10324,USA,Speedy Express,Save-a-lot Markets,14.4000,70,1996-10-08,1996-10-10,1996-11-05
198,Anne Dodsworth,10324,USA,Speedy Express,Save-a-lot Markets,9.6000,30,1996-10-08,1996-10-10,1996-11-05
199,Anne Dodsworth,10324,USA,Speedy Express,Save-a-lot Markets,44.0000,40,1996-10-08,1996-10-10,1996-11-05
200,Anne Dodsworth,10324,USA,Speedy Express,Save-a-lot Markets,35.1000,80,1996-10-08,1996-10-10,1996-11-05
201,Nancy Davolio,10325,Germany,Federal Shipping,Kniglich Essen,20.0000,6,1996-10-09,1996-10-14,1996-10-23
202,Nancy Davolio,10325,Germany,Federal Shipping,Kniglich Essen,4.8000,12,1996-10-09,1996-10-14,1996-10-23
203,Nancy Davolio,10325,Germany,Federal Shipping,Kniglich Essen,18.6000,9,1996-10-09,1996-10-14,1996-10-23
204,Nancy Davolio,10325,Germany,Federal Shipping,Kniglich Essen,10.0000,4,1996-10-09,1996-10-14,1996-10-23
205,Nancy Davolio,10325,Germany,Federal Shipping,Kniglich Essen,27.8000,40,1996-10-09,1996-10-14,1996-10-23
206,Margaret Peacock,10326,Spain,United Package,Blido Comidas preparadas,17.6000,24,1996-10-10,1996-10-14,1996-11-07
207,Margaret Peacock,10326,Spain,United Package,Blido Comidas preparadas,15.6000,16,1996-10-10,1996-10-14,1996-11-07
208,Margaret Peacock,10326,Spain,United Package,Blido Comidas preparadas,6.2000,50,1996-10-10,1996-10-14,1996-11-07
209,Andrew Fuller,10327,Sweden,Speedy Express,Folk och f HB,15.2000,25,1996-10-11,1996-10-14,1996-11-08
210,Andrew Fuller,10327,Sweden,Speedy Express,Folk och f HB,16.8000,50,1996-10-11,1996-10-14,1996-11-08
211,Andrew Fuller,10327,Sweden,Speedy Express,Folk och f HB,20.7000,35,1996-10-11,1996-10-14,1996-11-08
212,Andrew Fuller,10327,Sweden,Speedy Express,Folk och f HB,10.6000,30,1996-10-11,1996-10-14,1996-11-08
213,Margaret Peacock,10328,Portugal,Federal Shipping,Furia Bacalhau e Frutos do Mar,44.0000,9,1996-10-14,1996-10-17,1996-11-11
214,Margaret Peacock,10328,Portugal,Federal Shipping,Furia Bacalhau e Frutos do Mar,16.8000,40,1996-10-14,1996-10-17,1996-11-11
215,Margaret Peacock,10328,Portugal,Federal Shipping,Furia Bacalhau e Frutos do Mar,10.0000,10,1996-10-14,1996-10-17,1996-11-11
216,Margaret Peacock,10329,USA,United Package,Split Rail Beer & Ale,7.3000,10,1996-10-15,1996-10-23,1996-11-26
217,Margaret Peacock,10329,USA,United Package,Split Rail Beer & Ale,20.7000,8,1996-10-15,1996-10-23,1996-11-26
218,Margaret Peacock,10329,USA,United Package,Split Rail Beer & Ale,210.8000,20,1996-10-15,1996-10-23,1996-11-26
219,Margaret Peacock,10329,USA,United Package,Split Rail Beer & Ale,30.4000,12,1996-10-15,1996-10-23,1996-11-26
